PSC CODE,PRODUCT AND SERVICE CODE NAME,START DATE,END DATE,PRODUCT AND SERVICE CODE FULL NAME,PRODUCT AND SERVICE CODE EXCLUDES,PRODUCT AND SERVICE CODE NOTES,PRODUCT AND SERVICE CODE INICLUDES
10,WEAPONS,1979-10-01,,,,"This group includes combat weapons as well as weapon-like noncombat items, such as line throwing devices and pyrotechnic pistols.  Also included in this group are weapon neutralizing equipment, such as degaussers, and deception equipment, such as camouflage nets.  Excluded from this group are fire control and night devices classifiable in groups 12 or 58.",
1005,"GUNS, THROUGH 30MM",2011-10-01,,"Guns, through 30 mm","Turrets, Aircraft.",,"Machine guns; Brushes, Machine Gun and Pistol."
1010,"GUNS, OVER 30MM UP TO 75MM",2011-10-01,,"Guns, over 30 mm up to 75 mm",,,"Breech Mechanisms; Mounts Grenade Launchers for Integral-Cartridge Grenades, Single-Shot or Auto-Loading or Automatic-Firing."
1015,"GUNS, 75MM THROUGH 125MM",2011-10-01,,"Guns, 75 mm through 125 mm",,,Breech Mechanisms; Mounts; Rammers.
1020,"GUNS, OVER 125MM THROUGH 150MM",2011-10-01,,"Guns, over 125 mm through 150 mm Includes Breech Mechanisms, Power Drives; Gun Shields.",,,
1025,"GUNS, OVER 150MM THROUGH 200MM",2011-10-01,,"Guns, over 150 mm through 200 mm Includes Firing Platforms; Mounts; Gun Shields.",,,
1030,"GUNS, OVER 200MM THROUGH 300MM",2011-10-01,,"Guns, over 200 mm through 300 mm Includes Gun Yokes; Rammers; Reflectors.",,,
1035,"GUNS, OVER 300MM",2011-10-01,,"Guns, over 300 mm",,,Breech Mechanisms; Training Gears; Power Drives.
1040,CHEMICAL WEAPONS AND EQUIPMENT,1978-10-15,,Chemical Weapons and Equipment,,,Flame Throwers; Smoke Generators.
1045,"LAUNCHERS, TORPEDO AND DEPTH CHARGE",1978-10-15,,"Launchers, Torpedo and Depth Charge",,,Depth Charge Tracks; Torpedo Tubes.
1055,"LAUNCHERS, ROCKET AND PYROTECHNIC",1978-10-15,,"Launchers, Rocket and Pyrotechnic","Specifically designed Airborne Guided Missile  Launchers; Jettisonable Rocket Launchers; Launcher Fairings designed for specific airframes; Rifle Grenade Launchers; Grenade Launchers for Integral-Cartridge Grenades, Single-Shot or Auto Loading or Automatic Firing.",,Airborne Rocket Launchers adaptable to guided missile use.
1070,"NETS AND BOOMS, ORDNANCE",1978-12-15,,"Nets and Booms, Ordnance",,This class includes nets and booms for harbor  defense only.,
1075,DEGAUSSING AND MINE SWEEPING EQUIPMENT,2011-10-01,,Degaussing and Mine Sweeping Equipment,,,
1080,CAMOUFLAGE AND DECEPTION EQUIPMENT,1978-10-15,,Camouflage and Deception Equipment,,,"Dummy Artillery, Aircraft and Vehicles; Garnished Nets."
1090,ASSEMBLIES INTERCHANGEABLE BETWEEN WEAPONS IN TWO OR MORE CLASSES,2011-10-01,,Assemblies Interchangeable Between Weapons in Two or More  Classes,,,Components and Accessories used on or with weapons falling in two or more classes of group 10.
1095,MISCELLANEOUS WEAPONS,1978-10-15,,Miscellaneous Weapons,,,"Line Throwing Guns; Catapult Guns; Bayonets; Saluting Guns; Signal Guns; Flare Guns; Barrage Balloons; Accessories, not elsewhere classifiable, for Weapons in this group; Expendable Bomb Dispensers."
11,NUCLEAR ORDNANCE,1979-10-01,,,,"This group includes, in particular, nuclear  ordnance training weapons, practice ballistic units, and all components specially designed therefore, when not specifically classified elsewhere.  Also included in the group are specially designed simulators and mockups, which are  integral parts of the above.  Excluded from this group  are general purpose nose cones, case sections, flare  sections or center sections designed to carry payloads  other than nuclear and/or for use on a missile, rocket,  or re-entry vehicle to attain the necessary aerodynamic  configuration.",
1105,NUCLEAR BOMBS,1978-12-15,,Nuclear Bombs,Parachute canopies and canopy hardware.,"This class includes nuclear weapons (including bombs), which are designed to be dropped from an aircraft.","Ballistic cases, tail assemblies, retardation devices, and other peculiar components which are not  classifiable elsewhere."
1110,NUCLEAR PROJECTILES,1980-01-15,,Nuclear Projectiles,,"This class includes nuclear weapons which are designed to be propelled from a recoilless rifle, gun,  howitzer, or the like, and which are not designed to be  self propelled.","Ogive sections, body sections, bases, and other peculiar components which are not classifiable elsewhere."
1115,NUCLEAR WARHEADS AND WARHEAD SECTIONS,2011-10-01,,Nuclear Warheads and Warhead  Sections,"Such components as fuzing and firing devices,  nuclear components, high explosive components, classifiable in more specific classes, and items such as projectiles  and bombs which include the entire outer case of a weapon.","This class includes nuclear warheads (without or assembled with case sections, adaption kits, and/or fuzing and firing components) which are to be used in or with bombs, rockets, projectiles, missiles, demolition charges, or the like.  Also includes case sections, nose cones,  flare sections, center sections, and auxiliary structural components of missiles, rockets, and re-entry vehicles  which are designed or constructed for exclusive use with or for housing of nuclear warheads and/or warhead sections.","Components and parts peculiar to the warhead or warhead section, which are not classifiable in more specific classes."
1120,NUCLEAR DEPTH CHARGES,1985-01-15,,Nuclear Depth Charges,,This class includes nuclear weapons which consist  of depth charge bodies assembled with nuclear warheads.  It includes training weapons and all specially designed  components which are not classifiable elsewhere.,
1125,NUCLEAR DEMOLITION CHARGES,1991-10-01,,Nuclear Demolition Charges,,"This class includes nuclear weapons which are designed to be emplaced in or near a structure, area or  the like, which is to be destroyed.  The weapons may include accessories.","Outer cases, case sections and other peculiar  components, which are not classifiable elsewhere."
1127,NUCLEAR ROCKETS,1982-09-15,,Nuclear Rockets,Rocket Motors; Warhead Components; Rocket  Components classified in other FSC classes.,"This class includes nuclear weapons, consisting of rocket bodies assembled with nuclear warheads,  which comprise a single item of supply and are issued as such.",Components peculiar to assembled rockets which are not classifiable elsewhere.
1130,"CONVERSION KITS, NUCLEAR ORDNANCE",1979-06-15,,"Conversion Kits, Nuclear Ordnance",,This class Includes collections of items used for the purpose of  converting nuclear weapons from one configuration to another.,
1135,"FUZING AND FIRING DEVICES, NUCLEAR ORDNANCE",2011-10-01,,"Fuzing and Firing Devices, Nuclear Ordnance",,,"Such items as fuzes, power supplies, firing sets, X-units, cables, safing devices, adaption kits, and  re-entry vehicle nuclear ordnance arming and fuzing systems."
1140,NUCLEAR COMPONENTS,1978-10-15,,Nuclear Components,"End items, such as bombs, projectiles, warheads, and the like.",,All components which contain or simulate nuclear active materials.
1145,"EXPLOSIVE AND PYROTECHNIC COMPONENTS, NUCLEAR ORDNANCE",2011-10-01,,"Explosive and Pyrotechnic Components, Nuclear Ordnance",,"This class includes actual and simulated explosive and pyrotechnic components peculiar to all nuclear ordnance end items such as bombs, demolition charges, rockets, projectiles, warheads, and related systems.  Excluded from this class are all explosive and pyrotechnic components designed for other than nuclear ordnance applications.",
1190,"SPECIALIZED TEST AND HANDLING EQUIPMENT, NUCLEAR ORDNANCE",2011-10-01,,"Specialized Test and Handling Equipment, Nuclear Ordnance","Hand tools; Instruments for use on both nuclear ordnance and other equipment; Basic types of electrical and electronic test instruments, including those specially designed, such as ammeters, voltmeters, ohmmeters, multimeters, and similar instruments, as shown in the indexes in the FSC.",,"Specially designed trucks and trailers for nuclear ordnance; Specially designed slings and hoists; Operational, test, and setting devices, and cradles; Conditioning Kits and Sets, Controlled Environment."
1195,MISCELLANEOUS NUCLEAR ORDNANCE,1978-10-15,,Miscellaneous Nuclear Ordnance,,,Items common to more than one class or items not properly fitting into the foregoing classes of nuclear ordnance
12,FIRE CONTROL EQPT.,1979-10-01,,,,"Fire Control assemblies, subassemblies, and components are classified: a.  In appropriate classes of this group when:  (1)  Designed for multiple applications to different kinds of fire control equipment. (2)  Modified for use with guided missile remote control systems. (3)  Designed specifically for shipborne guided missile  remote control systems. (4)  Radar equipment, designed specifically for fire control systems. (5)  Both day and night viewing characteristics are incorporated into an integral unit.  b.  In class 1270 or 1280, when designed specifically for  aircraft gunnery or aircraft bombing fire control,  respectively.  c.  In class 1430, when designed specifically for guided missile remote control systems, except shipboard type. d.  In appropriate classes of group 58, when designed for  multiple applications to both fire control and  communication equipment. e.  In appropriate classes of group 58 when designed for night vision.",
