fips,PST045213,PST040210,PST120213,POP010210,AGE135213,AGE295213,AGE775213,SEX255213,RHI125213,RHI225213,RHI325213,RHI425213,RHI525213,RHI625213,RHI725213,RHI825213,POP715212,POP645212,POP815212,EDU635212,EDU685212,VET605212,LFE305212,HSG010213,HSG445212,HSG096212,HSG495212,HSD410212,HSD310212,INC910212,INC110212,PVY020212,BZA010212,BZA110212,BZA115212,NES010212,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030212,LND110210,POP060210
00000,316128839,308747716,2.4,308745538,6.3,23.3,14.1,50.8,77.7,13.2,1.2,5.3,0.2,2.4,17.1,62.6,84.8,12.9,20.5,85.7,28.5,21853912,25.4,132802859,65.5,25.9,181400,115226802,2.61,28051,53046,14.9,7431808,115938468,2.2,22735915,27092908,7.1,0.9,5.7,0.1,8.3,28.8,5319456312,4174286516,3917663456,12990,613795732,829658,3531905.43,87.4
01000,4833722,4779758,1.1,4779736,6.1,23.0,14.9,51.5,69.8,26.6,0.7,1.3,0.1,1.5,4.1,66.4,84.9,3.5,5.2,82.6,22.3,398343,24.1,2189938,70.2,15.8,122300,1837576,2.54,23587,43160,18.1,97938,1585761,0.8,315382,382350,14.8,0.8,1.8,0.1,1.2,28.1,112858843,52252752,57344851,12364,6426342,13506,50645.33,94.4
01001,55246,54571,1.2,54571,6.1,25.4,13.5,51.5,78.1,18.4,0.5,1.1,0.1,1.7,2.7,75.9,86.3,1.4,3.1,85.1,21.7,6036,25.6,22540,77.7,7.9,137900,19934,2.72,25253,53773,11.6,817,9908,-3.7,2916,4067,15.2,0.0,1.3,0.0,0.7,31.7,0,0,598175,12003,88157,385,594.44,91.8
01003,195540,182265,7.3,182265,5.7,22.4,18.1,51.2,87.3,9.5,0.7,0.9,0.1,1.5,4.6,83.1,82.6,3.7,5.3,88.4,27.7,19903,25.7,105800,74.1,24.4,172900,72751,2.48,26769,50706,13.3,4751,53042,3.2,16390,19035,2.7,0.4,1.0,0.0,1.3,27.3,1410273,0,2966489,17166,436955,1184,1589.78,114.6
01005,27076,27457,-1.4,27457,5.8,21.1,15.9,46.5,50.2,47.6,0.6,0.5,0.2,0.9,4.8,46.3,83.4,2.8,5.1,73.6,14.5,2174,24.6,11733,66.7,9.6,88700,9423,2.60,16532,31889,26.1,478,7005,-7.5,1525,1667,0.0,0.0,0.0,0.0,0.0,27.0,0,0,188337,6334,0,2,884.88,31.0
01007,22512,22919,-1.8,22915,5.3,21.3,14.3,46.0,76.3,22.1,0.4,0.2,0.1,0.9,2.1,74.6,87.9,1.3,1.9,76.1,9.0,1650,28.4,8901,81.0,5.5,91600,7386,2.95,17611,36824,16.5,292,2925,-1.8,1134,1385,14.9,0.0,0.0,0.0,0.0,0.0,0,0,124707,5804,10757,16,622.58,36.8
01009,57872,57322,1.0,57322,6.1,23.8,16.4,50.6,96.0,1.8,0.6,0.3,0.1,1.1,8.7,87.8,87.6,4.7,7.3,75.7,12.4,4245,34.3,23677,81.1,4.5,115200,21031,2.71,21155,45192,14.7,688,6575,3.6,3551,4458,0.0,0.0,0.0,0.0,0.0,23.2,341544,0,319700,5622,20941,6,644.78,88.9
01011,10639,10915,-2.5,10914,6.3,21.0,14.6,45.2,27.2,69.9,0.8,0.3,0.8,1.0,7.8,22.2,85.3,4.6,4.9,70.3,11.9,739,26.3,4434,77.3,10.4,73900,3740,2.75,19822,34500,22.2,112,0,0.0,485,417,0.0,0.0,0.0,0.0,0.0,38.8,0,0,43810,3995,3670,0,622.81,17.5
01013,20265,20946,-3.3,20947,6.1,23.3,17.7,53.4,54.3,43.6,0.4,1.0,0.0,0.7,1.2,53.5,93.6,1.3,2.1,76.3,12.9,1690,24.0,9862,70.4,13.3,73500,8149,2.51,17564,30752,25.7,403,5563,3.9,1148,1769,0.0,0.0,3.3,0.0,0.0,0.0,399132,56712,229277,11326,28427,9,776.83,27.0
01015,116736,118572,-1.5,118572,5.8,22.2,15.5,51.7,76.0,20.9,0.5,0.8,0.1,1.6,3.5,73.1,84.1,2.4,4.8,78.8,16.0,11636,21.8,53053,69.8,13.9,101900,45764,2.51,20881,40093,21.4,2294,34679,-3.9,6430,8713,7.2,0.0,1.6,0.0,0.5,24.7,2679991,0,1542981,13678,186533,71,605.87,195.7
01017,34162,34170,0.0,34215,5.9,21.4,17.8,52.0,58.8,39.1,0.2,0.7,0.1,1.1,2.0,57.4,84.9,1.2,1.7,73.8,11.0,2736,24.1,16829,69.2,11.2,78000,13634,2.48,18478,32181,23.3,528,6444,0.4,2262,1981,0.0,0.0,0.0,0.0,0.0,29.3,667283,0,264650,7620,23237,9,596.53,57.4
01019,26203,25986,0.8,25989,4.8,20.7,20.1,50.4,93.2,4.5,0.5,0.2,0.0,1.5,1.5,91.8,89.1,0.8,1.4,77.1,13.1,2054,27.4,16134,74.4,5.3,99900,11758,2.17,22472,36241,19.5,372,3664,2.1,1563,2180,0.0,0.0,0.0,0.0,0.0,14.5,307439,62293,186321,7613,13948,9,553.70,46.9
01021,43951,43642,0.7,43643,6.5,24.2,14.9,50.8,87.5,10.3,0.5,0.4,0.2,1.1,7.7,80.7,88.6,4.7,7.2,75.7,12.5,3144,32.9,19098,75.1,4.1,103700,16293,2.65,21132,40834,18.6,693,6800,2.3,2699,0,0.0,0.0,0.0,0.0,0.0,0.0,0,155139,359910,8496,34073,17,692.85,63.0
01023,13426,13858,-3.1,13859,5.0,21.0,20.3,52.5,56.2,42.7,0.2,0.3,0.0,0.5,0.7,55.8,92.4,0.3,1.2,74.1,11.9,863,33.6,7186,83.9,3.3,59300,5303,2.58,19354,35123,20.2,271,2859,3.8,831,1102,26.2,0.0,0.0,0.0,0.0,44.1,0,52904,84633,5969,11345,1,913.50,15.2
01025,25207,25840,-2.4,25833,5.5,23.0,17.5,52.7,54.1,44.2,0.4,0.5,0.0,0.8,1.3,53.2,92.5,0.6,1.4,78.4,12.7,1585,24.9,12501,76.1,7.8,84800,9321,2.74,19563,30954,26.4,590,6413,-0.3,1684,2374,0.0,0.0,0.0,0.0,0.0,28.6,571454,85803,344311,13034,23596,8,1238.47,20.9
01027,13486,13932,-3.2,13932,5.4,21.6,19.0,50.8,83.0,14.4,0.6,0.2,0.0,1.8,3.3,80.0,87.0,1.9,3.1,74.2,8.8,1095,29.4,6699,75.3,9.2,80600,5734,2.36,18136,34556,19.8,190,2861,-4.7,782,1005,0.0,0.0,0.0,0.0,0.0,0.0,330878,0,70558,5123,4352,0,603.96,23.1
01029,14994,14972,0.1,14972,5.5,22.6,18.0,50.4,94.7,3.6,0.4,0.2,0.1,1.1,2.2,92.6,88.5,1.2,2.0,74.2,9.5,920,30.6,6644,78.7,5.9,91300,5518,2.67,19049,37244,18.0,156,1626,3.8,911,1280,0.0,0.0,0.0,0.0,0.0,17.7,0,5888,133407,9080,4134,1,560.10,26.7
01031,50938,49948,2.0,49948,6.3,23.7,15.6,50.3,76.7,17.5,1.4,1.5,0.4,2.5,6.6,71.5,83.6,4.7,7.2,81.8,22.6,6153,21.2,22701,70.8,13.9,126400,19002,2.59,23441,44626,17.1,976,12729,2.6,2711,4032,6.0,0.0,1.3,0.0,0.7,29.3,613758,131594,639623,13665,50080,91,678.97,73.6
01033,54520,54428,0.2,54428,5.7,21.7,18.1,51.9,80.8,16.4,0.6,0.5,0.0,1.6,2.5,78.8,86.2,1.7,2.5,83.4,18.0,4419,23.0,25957,72.7,12.4,101500,22290,2.42,22186,40158,16.2,1234,18660,-1.7,3790,4757,0.0,0.0,0.0,0.0,0.0,22.8,2083166,351388,821284,15040,61935,166,592.62,91.8
