year,importer,category,exporter,value
1992,Algeria,mil,Australia,2479
1992,New Zealand,mil,Australia,1986
1992,Singapore,mil,Australia,1233210
1992,United Kingdom,mil,Australia,37576
1992,United States,mil,Australia,58142
1992,Indonesia,mil,Austria,1412190
1992,New Zealand,mil,Austria,1296
1992,Switzerland,mil,Austria,66412
1992,Tunisia,mil,Austria,581163
1992,United States,mil,Austria,87748
1992,Australia,mil,Belgium,1466
1992,Brazil,mil,Belgium,6718
1992,Indonesia,mil,Belgium,66809
1992,Saudi Arabia,mil,Belgium,4532115
1992,Switzerland,mil,Belgium,23941
1992,Tunisia,mil,Belgium,11520
1992,United States,mil,Belgium,348696
1992,Saudi Arabia,mil,Brazil,2503
1992,United States,mil,Brazil,3135
1992,Switzerland,mil,Bulgaria,291722
1992,Australia,mil,Canada,6023
1992,Hong Kong,mil,Canada,2553
1992,Italy,mil,Canada,1327600
1992,Malaysia,mil,Canada,266907
1992,New Zealand,mil,Canada,6371
1992,Norway,mil,Canada,959664
1992,Saudi Arabia,mil,Canada,2640475
1992,Tunisia,mil,Canada,1130
1992,United States,mil,Canada,27565
1992,Unspecified Country,mil,Chile,345
1992,Canada,mil,China,1948
1992,Indonesia,mil,China,559
1992,Switzerland,mil,China,125647
1992,United States,mil,China,9644522
1992,"Venezuela, Bolivarian Republic of",mil,Colombia,56000
1992,Switzerland,mil,Czechoslovakia,178411
1992,United States,mil,Czechoslovakia,50787
1992,Germany,mil,Denmark,340417
1992,Sweden,mil,Denmark,955097
1992,Switzerland,mil,Denmark,1675
1992,Saudi Arabia,mil,Egypt,2136
1992,Switzerland,mil,El Salvador,3129
1992,Greece,mil,Finland,1671
1992,United States,mil,Finland,120275
1992,Algeria,mil,France,2356
1992,Croatia,mil,France,192214
1992,Saudi Arabia,mil,France,63774948
1992,Switzerland,mil,France,68587
1992,Tunisia,mil,France,71671
1992,United States,mil,France,125171
1992,Australia,mil,Germany,23168
1992,Canada,mil,Germany,70141
1992,Colombia,mil,Germany,1452178
1992,Denmark,mil,Germany,145828
1992,Indonesia,mil,Germany,3521989
1992,Japan,mil,Germany,17030
1992,New Zealand,mil,Germany,12796
1992,Portugal,mil,Germany,13354
1992,Saudi Arabia,mil,Germany,3245180
1992,Switzerland,mil,Germany,8598225
1992,Tunisia,mil,Germany,22663
1992,United States,mil,Germany,2209537
1992,Switzerland,mil,Hungary,143760
1992,United States,mil,India,10370
1992,Colombia,mil,Israel,4072292
1992,Mexico,mil,Israel,55000
1992,Portugal,mil,Israel,1617
1992,Switzerland,mil,Israel,50804
1992,United States,mil,Israel,177888
1992,Australia,mil,Italy,83833
1992,Brazil,mil,Italy,36729
1992,Canada,mil,Italy,15690
1992,Chile,mil,Italy,7916
1992,Colombia,mil,Italy,153102
1992,Denmark,mil,Italy,2452806
1992,Malaysia,mil,Italy,2117
1992,New Zealand,mil,Italy,266076
1992,Saudi Arabia,mil,Italy,8108
1992,Switzerland,mil,Italy,112767
1992,Tunisia,mil,Italy,123228
1992,United States,mil,Italy,174563
1992,Cambodia,mil,Japan,757623
1992,Japan,mil,"Korea, Republic of",64712
1992,Croatia,mil,Lebanon,100000
1992,Unspecified Country,mil,Macao,115
1992,Indonesia,mil,Malaysia,2104
1992,Canada,mil,Mexico,365000
1992,United States,mil,Mexico,320155
1992,Indonesia,mil,Netherlands,118716
1992,Switzerland,mil,Netherlands,95321
1992,United States,mil,Netherlands,1884
1992,Germany,mil,New Zealand,5303
1992,Israel,mil,New Zealand,3225
1992,Sweden,mil,New Zealand,9408
1992,United States,mil,New Zealand,3025
1992,Saudi Arabia,mil,Pakistan,177737
1992,Switzerland,mil,Philippines,10623
1992,Switzerland,mil,Poland,6586
1992,"Bolivia, Plurinational State of",mil,Portugal,1985443
1992,Colombia,mil,Portugal,18719
1992,Djibouti,mil,Portugal,633944
1992,Switzerland,mil,Portugal,599
1992,United Kingdom,mil,Portugal,16307
1992,United States,mil,Portugal,71950
1992,Unspecified Country,mil,Portugal,537
1992,Switzerland,mil,Romania,40591
1992,United States,mil,Russian Federation,139169
1992,Belgium,mil,Saudi Arabia,165051
1992,United Arab Emirates,mil,Saudi Arabia,4941
1992,United States,mil,Saudi Arabia,3504
1992,Switzerland,mil,Serbia,6682
1992,Australia,mil,Singapore,3811
1992,Indonesia,mil,Singapore,4271
1992,Croatia,mil,Slovenia,12533
1992,Colombia,mil,South Africa,842266
1992,Switzerland,mil,South Africa,46367
1992,Colombia,mil,Spain,8876500
1992,Saudi Arabia,mil,Spain,163450
1992,Switzerland,mil,Spain,4842
1992,Tunisia,mil,Spain,98239
1992,United States,mil,Spain,700791
1992,Switzerland,mil,Sri Lanka,58220
1992,Canada,mil,Sweden,7087866
1992,Peru,mil,Sweden,593
1992,Switzerland,mil,Sweden,3463
1992,United States,mil,Sweden,479204
1992,Algeria,mil,Switzerland,5609
1992,Argentina,mil,Switzerland,11409
1992,Austria,mil,Switzerland,10356
1992,Belgium,mil,Switzerland,27429
1992,Canada,mil,Switzerland,4879
1992,Colombia,mil,Switzerland,69117
1992,Czechoslovakia,mil,Switzerland,5729
1992,Denmark,mil,Switzerland,4462842
1992,Finland,mil,Switzerland,10982
1992,France,mil,Switzerland,50093
1992,Germany,mil,Switzerland,10348659
1992,Greece,mil,Switzerland,7594
1992,Guatemala,mil,Switzerland,3390
1992,Guinea,mil,Switzerland,1186
1992,Indonesia,mil,Switzerland,25029
1992,Italy,mil,Switzerland,1383884
1992,Netherlands,mil,Switzerland,28962
1992,New Zealand,mil,Switzerland,3662
1992,Norway,mil,Switzerland,6122
1992,Pakistan,mil,Switzerland,17570
1992,Portugal,mil,Switzerland,16037
1992,Qatar,mil,Switzerland,2367
1992,Saudi Arabia,mil,Switzerland,1550
1992,Singapore,mil,Switzerland,85531
1992,South Africa,mil,Switzerland,60638
1992,Spain,mil,Switzerland,2138
1992,Sweden,mil,Switzerland,2557
1992,Tunisia,mil,Switzerland,2517
1992,United Arab Emirates,mil,Switzerland,8553
1992,United Kingdom,mil,Switzerland,68489
1992,United States,mil,Switzerland,36724
1992,France,mil,Thailand,5771
1992,United Arab Emirates,mil,Thailand,915
1992,Unspecified Country,mil,Thailand,19
1992,Switzerland,mil,Turkey,34156
1992,Oman,mil,United Arab Emirates,2080
1992,Saudi Arabia,mil,United Arab Emirates,16011
