year,importer,category,exporter,value
1992,Algeria,mil,United States,444581
1992,Argentina,mil,United States,9044
1992,Australia,mil,United States,2416543
1992,Austria,mil,United States,1514415
1992,Bahrain,mil,United States,25676412
1992,Belgium,mil,United States,2291374
1992,Belize,mil,United States,4313
1992,"Bolivia, Plurinational State of",mil,United States,432198
1992,Brazil,mil,United States,156516
1992,Canada,mil,United States,15248301
1992,Chile,mil,United States,2964
1992,Colombia,mil,United States,2725781
1992,Costa Rica,mil,United States,32162
1992,Denmark,mil,United States,386729
1992,Ecuador,mil,United States,441105
1992,Egypt,mil,United States,3853577
1992,El Salvador,mil,United States,124401
1992,Fiji,mil,United States,5899
1992,Finland,mil,United States,8194
1992,France,mil,United States,1157855
1992,Germany,mil,United States,15147397
1992,Greece,mil,United States,897593
1992,Guatemala,mil,United States,140824
1992,Guyana,mil,United States,1201
1992,Honduras,mil,United States,334583
1992,Hong Kong,mil,United States,12694
1992,Indonesia,mil,United States,667530
1992,Ireland,mil,United States,8909
1992,Israel,mil,United States,771482
1992,Italy,mil,United States,2417863
1992,Japan,mil,United States,26125881
1992,Jordan,mil,United States,829939
1992,Kenya,mil,United States,4783
1992,"Korea, Republic of",mil,United States,6560716
1992,Kuwait,mil,United States,11046619
1992,Malaysia,mil,United States,113181
1992,Mexico,mil,United States,988000
1992,Morocco,mil,United States,6651007
1992,Nepal,mil,United States,13250
1992,Netherlands,mil,United States,546528
1992,New Zealand,mil,United States,55723
1992,Nicaragua,mil,United States,62703
1992,Norway,mil,United States,2539583
1992,Oman,mil,United States,128110
1992,Pakistan,mil,United States,96908
1992,Panama,mil,United States,9649
1992,Paraguay,mil,United States,26220
1992,Peru,mil,United States,130220
1992,Philippines,mil,United States,769844
1992,Portugal,mil,United States,256854
1992,Qatar,mil,United States,16229
1992,Saudi Arabia,mil,United States,10593891
1992,Senegal,mil,United States,959316
1992,Singapore,mil,United States,915991
1992,South Africa,mil,United States,27089
1992,Spain,mil,United States,20415150
1992,Sweden,mil,United States,261801
1992,Switzerland,mil,United States,90598
