year,importer,category,exporter,value
1992,United States,mil,Australia,58142
1992,United States,mil,Austria,87748
1992,United States,mil,Belgium,348696
1992,United States,mil,Brazil,3135
1992,United States,mil,Canada,27565
1992,United States,mil,China,9644522
1992,United States,mil,Czechoslovakia,50787
1992,United States,mil,Finland,120275
1992,United States,mil,France,125171
1992,United States,mil,Germany,2209537
1992,United States,mil,India,10370
1992,United States,mil,Israel,177888
1992,United States,mil,Italy,174563
1992,United States,mil,Mexico,320155
1992,United States,mil,Netherlands,1884
1992,United States,mil,New Zealand,3025
1992,United States,mil,Portugal,71950
1992,United States,mil,Russian Federation,139169
1992,United States,mil,Saudi Arabia,3504
1992,United States,mil,Spain,700791
1992,United States,mil,Sweden,479204
1992,United States,mil,Switzerland,36724
1992,United States,mil,United Kingdom,4429632
1992,United States,civ,Argentina,1718906
1992,United States,civ,Australia,7666
1992,United States,civ,Austria,36248645
1992,United States,civ,Belgium,7820857
1992,United States,civ,Brazil,37960460
1992,United States,civ,Canada,2171458
1992,United States,civ,China,2398972
1992,United States,civ,Czechoslovakia,2128282
1992,United States,civ,Egypt,581064
1992,United States,civ,Finland,25102
1992,United States,civ,France,165174
1992,United States,civ,Germany,24354000
1992,United States,civ,Hungary,6753872
1992,United States,civ,Israel,4080706
1992,United States,civ,Italy,47656294
1992,United States,civ,"Korea, Republic of",754270
1992,United States,civ,Poland,4632
1992,United States,civ,Portugal,7325230
1992,United States,civ,Russian Federation,14668
1992,United States,civ,Saudi Arabia,2866
1992,United States,civ,Serbia,19171
1992,United States,civ,Spain,11346770
1992,United States,civ,Sweden,26805
1992,United States,civ,Switzerland,547795
1992,United States,civ,United Kingdom,1200418
1992,United States,civ,Denmark,4714
1992,United States,civ,Ireland,3837
1992,United States,civ,Japan,3643681
1992,United States,civ,Netherlands,2105
1992,United States,civ,New Zealand,1102
1992,United States,civ,Philippines,22621
1992,United States,civ,Singapore,3685
1992,United States,930330,Australia,5016
1992,United States,930330,Austria,82839
